2022-03-23 18:45:32.995447, 4, 11.26, 988.72, 206.29, 65.05, 332
2022-03-23 18:45:40.753820, 3, 11.38, 988.96, 204.23, 58.95, 900
2022-03-23 18:45:58.386257, 1, 11.62, 990.30, 192.85, 74.71, 826
2022-03-23 18:47:40.167237, 3, 11.28, 988.93, 204.45, 59.03, 901
2022-03-23 18:47:57.879584, 1, 11.64, 990.32, 192.69, 75.20, 826
2022-03-23 18:49:39.570502, 3, 11.16, 988.95, 204.33, 59.16, 902
2022-03-23 18:49:57.403007, 1, 11.53, 990.29, 192.91, 75.49, 825
2022-03-23 18:51:39.013974, 3, 11.06, 988.93, 204.45, 59.19, 902
2022-03-23 18:51:54.896502, 1, 11.33, 990.26, 193.15, 78.67, 826
2022-03-23 18:53:30.794039, 4, 10.90, 988.77, 205.80, 64.92, 331
2022-03-23 18:53:38.452158, 3, 10.91, 988.97, 204.18, 59.31, 904
2022-03-23 18:55:28.208522, 4, 10.85, 988.77, 205.84, 65.15, 331
2022-03-23 18:55:37.896757, 3, 10.81, 989.00, 203.91, 59.51, 904
2022-03-23 18:55:53.899328, 1, 11.17, 990.30, 192.89, 75.92, 827
2022-03-23 18:57:27.685881, 4, 10.70, 988.86, 205.03, 65.20, 331
2022-03-23 18:57:37.314139, 3, 10.66, 989.05, 203.42, 59.82, 904
2022-03-23 18:57:53.405846, 1, 11.07, 990.44, 191.67, 79.65, 827
2022-03-23 18:59:36.757174, 3, 10.54, 989.15, 202.59, 60.06, 905
2022-03-23 18:59:52.909971, 1, 11.00, 990.44, 191.69, 76.87, 827
2022-03-23 19:01:36.171598, 3, 10.50, 989.19, 202.30, 60.04, 906
2022-03-23 19:01:52.423901, 1, 10.99, 990.49, 191.20, 79.85, 827
2022-03-23 19:03:51.925645, 1, 10.77, 990.55, 190.76, 82.57, 828
2022-03-23 19:05:51.446237, 1, 10.72, 990.56, 190.68, 81.44, 828
2022-03-23 19:07:32.727508, 3, 10.24, 989.25, 201.78, 59.92, 907
2022-03-23 19:07:50.950140, 1, 10.70, 990.59, 190.39, 73.46, 828
2022-03-23 19:09:31.881245, 3, 10.10, 989.29, 201.39, 59.86, 908
2022-03-23 19:09:48.423926, 1, 10.68, 990.68, 189.63, 77.66, 828
2022-03-23 19:11:31.565160, 3, 10.02, 989.37, 200.76, 60.10, 908
2022-03-23 19:11:47.937577, 1, 10.63, 990.66, 189.83, 81.30, 828
2022-03-23 19:13:23.205081, 4, 9.98, 989.23, 201.96, 64.74, 331
